54.7,0.2
61.8,0.4
57.3,0.6
58.8,0.8
55.7,1
55,1.2
43.8,1.4
61.2,1.6
66.7,1.8
65.6,2
70,2.2
65,2.4
51.8,2.6
52,2.8
39.6,3
54,3.2
47.5,3.4
53.3,3.6
40.2,3.8
42.8,4
45.4,4.2
72.7,4.4
74.6,4.6
74.5,4.8
74.5,5
74.5,5.2
74.5,5.4
74.5,5.6
74.5,5.8
74.5,6
74.5,6.2
74.5,6.4
74.5,6.6
74.5,6.8
74.5,7
74.5,7.2
74.5,7.4
74.5,7.6
74.5,7.8
74.5,8
74.5,8.2
74.5,8.4
74.5,8.6
74.5,8.8
74.5,9
74.5,9.2
74.5,9.4
74.5,9.6
74.5,9.8
74.5,10
74.5,10.2
74.5,10.4
74.5,10.6
74.5,10.8
74.5,11
74.5,11.2
74.5,11.4
74.5,11.6
74.5,11.8
74.5,12
74.5,12.2
74.5,12.4
74.5,12.6
74.5,12.8
74.5,13
74.5,13.2
74.5,13.4
74.5,13.6
74.5,13.8
74.5,14
74.5,14.2
74.5,14.4
74.5,14.6
74.5,14.8
74.5,15
74.5,15.2
74.6,15.4
74.6,15.6
74.6,15.8
73.6,16
44.9,16.2
59.1,16.4
67.3,16.6
60.6,16.8
60.7,17
53.7,17.2
46.3,17.4
40,17.6
38.6,17.8
40.6,18
40,18.2
38.5,18.4
53.3,18.6
45.1,18.8
51.8,19
48.8,19.2
48.6,19.4
51.6,19.6
44.4,19.8
51.1,20
49.9,20.2
40.1,20.4
39.6,20.6
87,20.8
64.7,21
56.3,21.2
57.9,21.4
60.4,21.6
71.4,21.8
88.8,22
87,22.2
46.8,22.4
80.4,22.6
80.2,22.8
84.3,23
84.2,23.2
75.2,23.4
63.9,23.6
57.8,23.8
51.5,24
46.9,24.2
41.4,24.4
41,24.6
44.5,24.8
47.3,25
41,25.2
41.6,25.4
49.2,25.6
39.4,25.8
46.4,26
49.7,26.2
54.4,26.4
55.5,26.6
60.4,26.8
55.6,27
49.4,27.2
50.7,27.4
51.1,27.6
50.7,27.8
61.2,28
65.4,28.2
61.6,28.4
56.7,28.6
55.9,28.8
43.5,29
42.5,29.2
43.5,29.4
53.1,29.6
42.9,29.8
45.9,30
79.5,30.2
81.6,30.4
81.6,30.6
81.6,30.8
81.6,31
81.6,31.2
81.6,31.4
81.6,31.6
81.6,31.8
81.6,32
81.6,32.2
81.6,32.4
81.6,32.6
81.6,32.8
81.6,33
81.6,33.2
81.6,33.4
81.6,33.6
81.6,33.8
81.6,34
81.6,34.2
81.6,34.4
81.6,34.6
81.6,34.8
81.6,35
81.5,35.2
81.6,35.4
81.6,35.6
81.6,35.8
81.6,36
81.6,36.2
81.6,36.4
81.6,36.6
81.6,36.8
81.6,37
81.6,37.2
81.6,37.4
81.6,37.6
81.6,37.8
81.6,38
81.6,38.2
81.6,38.4
81.6,38.6
81.6,38.8
81.6,39
81.6,39.2
81.6,39.4
81.6,39.6
81.6,39.8
81.6,40
81.6,40.2
81.6,40.4
81.6,40.6
81.6,40.8
81.6,41
81.6,41.2
81.6,41.4
81.6,41.6
81.6,41.8
81.6,42
81.6,42.2
78.1,42.4
37.4,42.6
39.5,42.8
53.1,43
48.4,43.2
62.1,43.4
57.9,43.6
60.1,43.8
53.3,44
53.1,44.2
53.3,44.4
63.9,44.6
49.4,44.8
49.7,45
53.8,45.2
